z	e_11	e_22	e_33	e_12	e_23	e_13	px	py	pz
0	-981.81818	-981.81818	763.63636	0	0	0	0.5	0.5	1.5
0.1	-1127.14239	-1127.14239	876.6663	0	0	0	0.56965	0.56965	1.43035
0.2	-1170.14261	-1170.14261	910.11092	0	0	0	0.62959	0.62959	1.37041
0.3	-1121.26172	-1121.26172	872.09245	0	0	0	0.68119	0.68119	1.31881
0.4	-999.23163	-999.23163	777.18015	0	0	0	0.72559	0.72559	1.27441
0.5	-825.69747	-825.69747	642.20914	0	0	0	0.76382	0.76382	1.23618
0.6	-621.91255	-621.91255	483.70976	0	0	0	0.79672	0.79672	1.20328
0.7	-406.83385	-406.83385	316.42632	0	0	0	0.82503	0.82503	1.17497
0.8	-196.14015	-196.14015	152.55345	0	0	0	0.8494	0.8494	1.1506
0.9	-1.85623	-1.85623	1.44373	0	0	0	0.87038	0.87038	1.12962
1	167.62469	167.62469	-130.37476	0	0	0	0.88843	0.88843	1.11157
1.1	307.25978	307.25978	-238.97983	0	0	0	0.90398	0.90398	1.09602
1.2	414.91586	414.91586	-322.71234	0	0	0	0.91735	0.91735	1.08265
1.3	490.84197	490.84197	-381.76598	0	0	0	0.92886	0.92886	1.07114
1.4	537.11159	537.11159	-417.75346	0	0	0	0.93877	0.93877	1.06123
1.5	557.07732	557.07732	-433.28236	0	0	0	0.9473	0.9473	1.0527
1.6	554.87019	554.87019	-431.56571	0	0	0	0.95464	0.95464	1.04536
1.7	534.96549	534.96549	-416.08427	0	0	0	0.96096	0.96096	1.03904
1.8	501.82827	501.82827	-390.31088	0	0	0	0.9664	0.9664	1.0336
1.9	459.64346	459.64346	-357.50047	0	0	0	0.97108	0.97108	1.02892
2	412.12878	412.12878	-320.54461	0	0	0	0.97511	0.97511	1.02489
2.1	362.42341	362.42341	-281.88487	0	0	0	0.97857	0.97857	1.02143
2.2	313.04174	313.04174	-243.47691	0	0	0	0.98156	0.98156	1.01844
2.3	265.87931	265.87931	-206.79502	0	0	0	0.98413	0.98413	1.01587
2.4	222.25743	222.25743	-172.86689	0	0	0	0.98634	0.98634	1.01366
2.5	182.99349	182.99349	-142.32827	0	0	0	0.98824	0.98824	1.01176
2.6	148.48531	148.48531	-115.48858	0	0	0	0.98988	0.98988	1.01012
2.7	118.80001	118.80001	-92.4	0	0	0	0.99129	0.99129	1.00871
2.8	93.75968	93.75968	-72.92419	0	0	0	0.9925	0.9925	1.0075
2.9	73.01903	73.01903	-56.79258	0	0	0	0.99355	0.99355	1.00645
3	56.1316	56.1316	-43.65791	0	0	0	0.99445	0.99445	1.00555
3.1	42.60325	42.60325	-33.13586	0	0	0	0.99522	0.99522	1.00478
3.2	31.93299	31.93299	-24.83677	0	0	0	0.99589	0.99589	1.00411
3.3	23.64191	23.64191	-18.38815	0	0	0	0.99646	0.99646	1.00354
3.4	17.29203	17.29203	-13.44936	0	0	0	0.99695	0.99695	1.00305
3.5	12.49669	12.49669	-9.71965	0	0	0	0.99738	0.99738	1.00262
3.6	8.92457	8.92457	-6.94133	0	0	0	0.99774	0.99774	1.00226
3.7	6.29903	6.29903	-4.89925	0	0	0	0.99806	0.99806	1.00194
3.8	4.39441	4.39441	-3.41787	0	0	0	0.99833	0.99833	1.00167
3.9	3.03045	3.03045	-2.35702	0	0	0	0.99856	0.99856	1.00144
4	2.06601	2.06601	-1.60689	0	0	0	0.99876	0.99876	1.00124
4.1	1.39253	1.39253	-1.08308	0	0	0	0.99893	0.99893	1.00107
4.2	0.92802	0.92802	-0.7218	0	0	0	0.99908	0.99908	1.00092
4.3	0.61153	0.61153	-0.47564	0	0	0	0.99921	0.99921	1.00079
4.4	0.39848	0.39848	-0.30993	0	0	0	0.99932	0.99932	1.00068
4.5	0.25678	0.25678	-0.19972	0	0	0	0.99941	0.99941	1.00059
4.6	0.16363	0.16363	-0.12727	0	0	0	0.9995	0.9995	1.0005
4.7	0.10313	0.10313	-0.08021	0	0	0	0.99957	0.99957	1.00043
4.8	0.06428	0.06428	-0.05	0	0	0	0.99963	0.99963	1.00037
4.9	0.03963	0.03963	-0.03082	0	0	0	0.99968	0.99968	1.00032
5	0.02417	0.02417	-0.0188	0	0	0	0.99972	0.99972	1.00028
									
