# Header: wavelength	mu
0.5	0.933253537100892
0.51	0.928632122924135
0.52	0.924323436087174
0.53	0.920344845142271
0.54	0.916710968088332
0.55	0.913433936570515
0.56	0.910523645818607
0.57	0.907987988765808
0.58	0.905833073555823
0.59	0.904063424223
0.6	0.902682164754887
0.61	0.901691187050423
0.62	0.901091303495837
0.63	0.900882385015666
0.64	0.901063485535113
0.65	0.901632953826378
0.66	0.902588533716345
0.67	0.903927453615042
0.68	0.905646506290253
0.69	0.907742119768847
0.7	0.910210420193886
0.71	0.91304728741134
0.72	0.916248404003637
0.73	0.919809298430842
0.74	0.923725382885344
0.75	0.927991986413156
0.76	0.932604383805011
0.77	0.937557820713538
0.78	0.931308647632149
0.79	0.936632124257099
0.8	0.935822390522794
0.81	0.941624794039352
0.82	0.940517814581116
0.83	0.944134390027114
0.84	0.95061517933939
0.85	0.939760765113668
0.86	0.946410535314954
0.87	0.943485104358125
0.88	0.950466488385117
0.89	0.935675513802622
0.9	0.942696821148719
0.91	0.937650258969564
0.92	0.944910645986915
0.93	0.938630781307294
0.94	0.946083881354874
0.95	0.953773932477706
0.96	0.957758430234882
0.97	0.96582983876788
0.98	0.974127479973212
0.99	0.96464886809454
1	0.973024300145036
1.01	0.981613257068503
1.02	0.980133200047943
1.03	0.988938234544575
1.04	0.997946564334885
1.05	0.960177908025652
1.06	0.968686072852479
1.07	0.9773814851632
1.08	0.986261788415076
1.09	0.995324698620656
1.1	1.00456800228123
1.11	1.01398955434012
1.12	1.02358727616139
1.13	1.00151490789828
1.14	1.01089288025764
1.15	1.02043617751109
1.16	1.03014296714475
1.17	1.0029190368082
1.18	1.01231077078513
1.19	1.02185541413302
1.2	1.03155135105557
1.21	1.0413970156676
1.22	1.05139089037874
1.23	1.01683468158609
1.24	1.02639087710967
1.25	1.03608509548974
1.26	1.0459159970623
1.27	1.05588228305637
1.28	1.0659826942465
1.29	1.02238894443236
1.3	1.03191621728958
1.31	1.04156759288848
1.32	1.05134195755046
1.33	1.061238231027
1.34	1.0712553653945
1.35	1.08139234398615
1.36	1.05873223321625
1.37	1.06862013248542
1.38	1.0786214441204
1.39	1.08873526650395
1.4	1.09896072445393
1.41	1.10929696835569
1.42	1.11974317332437
1.43	1.13029853839612
1.44	1.12053275938296
1.45	1.13101940493477
1.46	1.14161097311071
1.47	1.15230675108963
1.48	1.16310604632934
1.49	1.17400818591234
1.5	1.18501251591428
1.51	1.19611840079445
1.52	1.20732522280739
1.53	1.21863238143495
1.54	1.02143692924956
1.55	1.03022510828476
1.56	1.03909432865763
1.57	1.048044053464
1.58	1.05707376046943
