# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.098927
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Al_sg225.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	0.08676
0.52	0.0863525
0.53	0.0859652
0.54	0.0855814
0.55	0.0852115
0.56	0.0848412
0.57	0.0844893
0.58	0.0841354
0.59	0.0838451
0.6	0.0835501
0.61	0.0832368
0.62	0.0829377
0.63	0.0827105
0.64	0.0824614
0.65	0.0822897
0.66	0.0820223
0.67	0.081834
0.68	0.081716
0.69	0.0815
0.7	0.0813925
0.71	0.0810898
0.72	0.0810734
0.73	0.0811067
0.74	0.0809298
0.75	0.08101
0.76	0.0807491
0.77	0.0808726
0.78	0.0808943
0.79	0.080763
0.8	0.0806143
0.81	0.0806592
0.82	0.0804767
0.83	0.0805668
0.84	0.0808305
0.85	0.0807478
0.86	0.0810508
0.87	0.0811654
0.88	0.0815104
0.89	0.0806084
0.9	0.0809703
0.91	0.0810606
0.92	0.08146
0.93	0.081535
0.94	0.0811197
0.95	0.0815571
0.96	0.0813906
0.97	0.0818556
0.98	0.0823404
0.99	0.0813272
1	0.08182
1.01	0.0823316
1.02	0.0827113
1.03	0.0832567
1.04	0.0838202
1.05	0.0844015
1.06	0.0827147
1.07	0.0832876
1.08	0.0838773
1.09	0.0827083
1.1	0.0832983
1.11	0.0839041
1.12	0.0845255
1.13	0.0840744
1.14	0.0824175
1.15	0.0830251
1.16	0.083647
1.17	0.0838385
1.18	0.0844812
1.19	0.0851378
1.2	0.0858081
1.21	0.086492
1.22	0.0871893
1.23	0.0862071
1.24	0.0851213
1.25	0.0858013
1.26	0.0864936
1.27	0.0871983
1.28	0.0879152
1.29	0.0864978
1.3	0.0872052
1.31	0.0879241
1.32	0.0886544
1.33	0.089396
1.34	0.0901489
1.35	0.087509
1.36	0.0882333
1.37	0.0831442
1.38	0.0838041
1.39	0.0844737
1.4	0.085153
1.41	0.0858418
1.42	0.0865401
1.43	0.0872477
1.44	0.0861588
1.45	0.0868597
1.46	0.0875696
1.47	0.0882883
1.48	0.0890158
1.49	0.0897521
1.5	0.090497
1.51	0.0912505
1.52	0.0920125
1.53	0.0927829
1.54	0.0935618
1.55	0.094349
1.56	0.0882211
1.57	0.0889357
1.58	0.0896579
1.59	0.0903876
1.6	0.0911248
1.61	0.0918694
1.62	0.0926214
1.63	0.0933806
1.64	0.0941472
1.65	0.094921
1.66	0.0890081
1.67	0.0897153
1.68	0.0904291
1.69	0.0911494
1.7	0.0918763
1.71	0.0926096
1.72	0.0933494
1.73	0.0940956
1.74	0.0948481
1.75	0.095607
1.76	0.0963721
1.77	0.0971435
1.78	0.0979211
1.79	0.0987048
1.8	0.0994947
1.81	0.100291
1.82	0.0914055
1.83	0.0921069
1.84	0.0928137
1.85	0.093526
1.86	0.0836149
1.87	0.0842233
1.88	0.0848364
1.89	0.0854541
1.9	0.0860766
1.91	0.0867036
1.92	0.0873353
1.93	0.0879715
1.94	0.0886123
1.95	0.0892577
1.96	0.0899075
1.97	0.0905619
1.98	0.0912207
1.99	0.0918839
2	0.0925516
2.01	0.0932237
2.02	0.0939001
2.03	0.0908788
2.04	0.0915274
2.05	0.0921802
2.06	0.0928371
2.07	0.0934981
2.08	0.0941632
2.09	0.0948323
2.1	0.0955056
2.11	0.0961829
2.12	0.0968642
2.13	0.0975495
2.14	0.0982388
2.15	0.0989321
2.16	0.0996294
2.17	0.100331
2.18	0.101036
2.19	0.101745
2.2	0.102458
2.21	0.103175
2.22	0.103896
2.23	0.10462
2.24	0.105349
2.25	0.106081
2.26	0.106817
2.27	0.107557
2.28	0.108301
2.29	0.109049
2.3	0.1098
2.31	0.110556
2.32	0.111315
2.33	0.112077
2.34	0.10452
2.35	0.105219
2.36	0.105921
2.37	0.106627
2.38	0.107336
2.39	0.108049
2.4	0.108765
2.41	0.109484
2.42	0.110207
2.43	0.110933
2.44	0.111663
2.45	0.0831211
2.46	0.0836178
2.47	0.0841168
2.48	0.0846182
2.49	0.0851219
2.5	0.0856279
2.51	0.0861363
2.52	0.086647
2.53	0.08716
2.54	0.0876753
2.55	0.0881929
2.56	0.0887128
2.57	0.089235
2.58	0.0897594
2.59	0.0902861
2.6	0.0908151
2.61	0.0913464
2.62	0.0918799
2.63	0.0924156
2.64	0.0929536
2.65	0.0934938
2.66	0.0940362
2.67	0.0945809
2.68	0.0951278
2.69	0.0956769
2.7	0.0962282
2.71	0.0967817
2.72	0.0973374
2.73	0.0978953
2.74	0.0984554
2.75	0.0990177
2.76	0.0995821
2.77	0.100149
2.78	0.100718
2.79	0.101289
2.8	0.101862
2.81	0.102437
2.82	0.103014
2.83	0.103594
2.84	0.104176
2.85	0.104759
2.86	0.105345
2.87	0.0806522
2.88	0.081066
2.89	0.0814813
2.9	0.081898
2.91	0.0823163
2.92	0.0827361
2.93	0.0831574
2.94	0.0835802
2.95	0.0840044
2.96	0.0844302
2.97	0.0848574
2.98	0.0852861
2.99	0.0857163
3	0.086148
3.01	0.0865811
3.02	0.0870157
3.03	0.0874517
3.04	0.0878892
3.05	0.0883282
3.06	0.0887686
3.07	0.0892105
3.08	0.0896539
3.09	0.0900986
3.1	0.0905448
3.11	0.0909925
3.12	0.0914416
3.13	0.0918921
3.14	0.0923441
3.15	0.0927975
3.16	0.0932523
3.17	0.0937086
3.18	0.0941663
3.19	0.0946253
3.2	0.0950859
3.21	0.0955478
3.22	0.0960111
3.23	0.0964759
3.24	0.0969421
3.25	0.0974096
3.26	0.0978786
3.27	0.098349
3.28	0.0988208
3.29	0.099294
3.3	0.0997686
3.31	0.100245
3.32	0.100722
3.33	0.101201
3.34	0.101681
3.35	0.102162
3.36	0.102645
3.37	0.10313
3.38	0.103615
3.39	0.104102
3.4	0.104591
3.41	0.105081
3.42	0.105572
3.43	0.106064
3.44	0.106558
3.45	0.107054
3.46	0.10755
3.47	0.108048
3.48	0.108548
3.49	0.109049
3.5	0.109551
3.51	0.110054
3.52	0.110559
3.53	0.111065
3.54	0.111573
3.55	0.112082
3.56	0.112592
3.57	0.113104
3.58	0.113617
3.59	0.114131
3.6	0.114647
3.61	0.115164
3.62	0.115682
3.63	0.116202
3.64	0.116723
3.65	0.117246
3.66	0.117769
3.67	0.118295
3.68	0.118821
3.69	0.119349
3.7	0.119878
3.71	0.120408
3.72	0.12094
3.73	0.121473
3.74	0.122008
3.75	0.122544
3.76	0.123081
3.77	0.123619
3.78	0.124159
3.79	0.1247
3.8	0.125242
3.81	0.125786
3.82	0.126331
3.83	0.126878
3.84	0.127425
3.85	0.127975
3.86	0.128525
3.87	0.129077
3.88	0.12963
3.89	0.130184
3.9	0.13074
3.91	0.131297
3.92	0.131855
3.93	0.132414
3.94	0.132975
3.95	0.133538
3.96	0.134101
3.97	0.134666
3.98	0.135232
3.99	0.135799
4	0.136368
4.01	0.136938
4.02	0.13751
4.03	0.138082
4.04	0.138656
4.05	0.100108
4.06	0.100491
4.07	0.100875
4.08	0.10126
4.09	0.101645
4.1	0.102032
4.11	0.102419
4.12	0.102807
4.13	0.103196
4.14	0.103586
4.15	0.103976
4.16	0.104368
4.17	0.10476
4.18	0.105153
4.19	0.105547
4.2	0.105941
4.21	0.106337
4.22	0.106733
4.23	0.10713
4.24	0.107528
4.25	0.107927
4.26	0.108326
4.27	0.108727
4.28	0.109128
4.29	0.10953
4.3	0.109933
4.31	0.110336
4.32	0.110741
4.33	0.111146
4.34	0.111552
4.35	0.111959
4.36	0.112367
4.37	0.112775
4.38	0.113184
4.39	0.113595
4.4	0.114005
4.41	0.114417
4.42	0.11483
4.43	0.115243
4.44	0.115657
4.45	0.116072
4.46	0.116488
4.47	0.116904
4.48	0.117322
4.49	0.11774
4.5	0.118159
4.51	0.118578
4.52	0.118999
4.53	0.11942
4.54	0.119842
4.55	0.120265
4.56	0.120689
4.57	0.121114
4.58	0.121539
4.59	0.121965
4.6	0.122392
4.61	0.12282
4.62	0.123248
4.63	0.123678
4.64	0.124108
4.65	0.124539
4.66	0.12497
4.67	0.125403
4.68	0.0434815
4.69	0.0435633
4.7	0.0436451
4.71	0.043727
4.72	0.0438089
4.73	0.0438908
4.74	0.0439728
4.75	0.0440548
4.76	0.0441369
4.77	0.044219
4.78	0.0443011
4.79	0.0443833
4.8	0.0444655
4.81	0.0445478
4.82	0.0446301
4.83	0.0447124
4.84	0.0447948
4.85	0.0448772
4.86	0.0449597
4.87	0.0450422
4.88	0.0451247
4.89	0.0452072
4.9	0.0452898
4.91	0.0453725
4.92	0.0454551
4.93	0.0455378
4.94	0.0456206
4.95	0.0457033
4.96	0.0457861
4.97	0.045869
4.98	0.0459518
4.99	0.0460347
5	0.0461177
5.01	0.0462006
5.02	0.0462836
5.03	0.0463667
5.04	0.0464497
5.05	0.0465328
5.06	0.0466159
5.07	0.0466991
5.08	0.0467823
5.09	0.0468655
5.1	0.0469488
5.11	0.047032
5.12	0.0471153
5.13	0.0471987
5.14	0.0472821
5.15	0.0473655
5.16	0.0474489
5.17	0.0475323
5.18	0.0476158
5.19	0.0476993
5.2	0.0477829
5.21	0.0478665
5.22	0.0479501
5.23	0.0480337
5.24	0.0481173
5.25	0.048201
5.26	0.0482847
5.27	0.0483685
5.28	0.0484522
5.29	0.048536
5.3	0.0486198
5.31	0.0487037
5.32	0.0487875
5.33	0.0488714
5.34	0.0489553
5.35	0.0490393
5.36	0.0491232
5.37	0.0492072
5.38	0.0492913
5.39	0.0493753
5.4	0.0494594
5.41	0.0495435
5.42	0.0496276
5.43	0.0497117
5.44	0.0497959
5.45	0.04988
5.46	0.0499643
5.47	0.0500485
5.48	0.0501327
5.49	0.050217
5.5	0.0503013
5.51	0.0503856
