# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.940704
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Cu_sg225.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	0.825819
0.52	0.826391
0.53	0.827335
0.54	0.827993
0.55	0.8285
0.56	0.828604
0.57	0.828983
0.58	0.830018
0.59	0.829803
0.6	0.830278
0.61	0.831339
0.62	0.830461
0.63	0.831217
0.64	0.830483
0.65	0.832256
0.66	0.831816
0.67	0.833833
0.68	0.832379
0.69	0.834627
0.7	0.832933
0.71	0.832228
0.72	0.834802
0.73	0.832172
0.74	0.833549
0.75	0.836491
0.76	0.836212
0.77	0.83944
0.78	0.840914
0.79	0.840039
0.8	0.836671
0.81	0.837724
0.82	0.84149
0.83	0.842408
0.84	0.83902
0.85	0.843089
0.86	0.841885
0.87	0.846188
0.88	0.842158
0.89	0.842145
0.9	0.846682
0.91	0.850116
0.92	0.854967
0.93	0.859988
0.94	0.865176
0.95	0.851285
0.96	0.856398
0.97	0.84706
0.98	0.852188
0.99	0.857471
1	0.862905
1.01	0.859562
1.02	0.846345
1.03	0.851679
1.04	0.857155
1.05	0.859134
1.06	0.864819
1.07	0.870642
1.08	0.876599
1.09	0.869349
1.1	0.875328
1.11	0.867147
1.12	0.873124
1.13	0.879226
1.14	0.885451
1.15	0.874876
1.16	0.881048
1.17	0.887337
1.18	0.893742
1.19	0.900261
1.2	0.906894
1.21	0.886825
1.22	0.893236
1.23	0.853852
1.24	0.859726
1.25	0.865699
1.26	0.871769
1.27	0.877936
1.28	0.870369
1.29	0.876509
1.3	0.882741
1.31	0.889065
1.32	0.895478
1.33	0.901982
1.34	0.908574
1.35	0.915253
1.36	0.92202
1.37	0.928873
1.38	0.935812
1.39	0.942835
1.4	0.896672
1.41	0.903098
1.42	0.909603
1.43	0.916183
1.44	0.92284
1.45	0.929572
1.46	0.936378
1.47	0.943258
1.48	0.899819
1.49	0.906162
1.5	0.912573
1.51	0.919051
1.52	0.925596
1.53	0.932207
1.54	0.938883
1.55	0.945624
1.56	0.95243
1.57	0.959299
1.58	0.966233
1.59	0.973229
1.6	0.980288
1.61	0.987409
1.62	0.92274
1.63	0.929094
1.64	0.935504
1.65	0.941969
1.66	0.869465
1.67	0.875084
1.68	0.880751
1.69	0.886467
1.7	0.89223
1.71	0.898039
1.72	0.903896
1.73	0.909799
1.74	0.915749
1.75	0.921744
1.76	0.927785
1.77	0.933871
1.78	0.940001
1.79	0.946177
1.8	0.952397
1.81	0.931425
1.82	0.937431
1.83	0.943479
1.84	0.949569
1.85	0.9557
1.86	0.961872
1.87	0.968085
1.88	0.974339
1.89	0.980633
1.9	0.986967
1.91	0.993342
1.92	0.999756
1.93	1.00621
1.94	1.0127
1.95	1.01924
1.96	1.02581
1.97	1.03242
1.98	1.03907
1.99	1.04575
2	1.05248
2.01	1.05924
2.02	1.06604
2.03	1.07288
2.04	1.07976
2.05	1.08667
2.06	1.09362
2.07	1.10061
2.08	1.10764
2.09	1.05396
2.1	1.06048
2.11	1.06703
2.12	1.07361
2.13	1.08022
2.14	1.08687
2.15	1.09356
2.16	1.10027
2.17	1.10702
2.18	0.902414
2.19	0.907284
2.2	0.912178
2.21	0.917096
2.22	0.922037
2.23	0.927001
2.24	0.931988
2.25	0.936999
2.26	0.942032
2.27	0.947089
2.28	0.952168
2.29	0.957269
2.3	0.962394
2.31	0.967541
2.32	0.97271
2.33	0.977901
2.34	0.983115
2.35	0.988351
2.36	0.993608
2.37	0.998888
2.38	1.00419
2.39	1.00951
2.4	1.01486
2.41	1.02022
2.42	1.02561
2.43	1.03102
2.44	1.03645
2.45	1.04191
2.46	1.04738
2.47	1.05287
2.48	1.05839
2.49	1.06393
2.5	1.06948
2.51	1.07506
2.52	1.08066
2.53	1.08628
2.54	1.09192
2.55	1.09758
2.56	0.921401
2.57	0.92568
2.58	0.929974
