# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.768217
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Fe_sg229_Iron-alpha.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	1.05672
0.52	1.0535
0.53	1.05266
0.54	1.05072
0.55	1.04909
0.56	1.04853
0.57	1.04737
0.58	1.0451
0.59	1.04767
0.6	1.04708
0.61	1.04479
0.62	1.04029
0.63	1.04181
0.64	1.04339
0.65	1.04279
0.66	1.04639
0.67	1.04018
0.68	1.04246
0.69	1.04323
0.7	1.04374
0.71	1.03693
0.72	1.0432
0.73	1.03421
0.74	1.04177
0.75	1.04973
0.76	1.05304
0.77	1.05065
0.78	1.05935
0.79	1.04385
0.8	1.04598
0.81	1.05498
0.82	1.03818
0.83	1.04452
0.84	1.05384
0.85	1.0453
0.86	1.05484
0.87	1.05454
0.88	1.06446
0.89	1.05202
0.9	1.06203
0.91	1.05968
0.92	1.06998
0.93	1.08056
0.94	1.0481
0.95	1.05829
0.96	1.04859
0.97	1.05888
0.98	1.06941
0.99	1.0434
1	1.05367
1.01	1.06416
1.02	1.0644
1.03	1.07514
1.04	1.0861
1.05	1.04943
1.06	1.05991
1.07	1.07058
1.08	1.08146
1.09	1.09254
1.1	1.10381
1.11	1.11528
1.12	1.12694
1.13	1.0418
1.14	1.05212
1.15	1.0626
1.16	1.07326
1.17	1.08408
1.18	1.05683
1.19	1.06733
1.2	1.07799
1.21	1.0888
1.22	1.09977
1.23	1.06566
1.24	1.07619
1.25	1.08687
1.26	1.0977
1.27	1.10866
1.28	1.11976
1.29	1.07662
1.3	1.08715
1.31	1.09781
1.32	1.10861
1.33	1.11953
1.34	1.13058
1.35	1.14175
1.36	1.05343
1.37	1.06338
1.38	1.07345
1.39	1.08363
1.4	1.09391
1.41	1.10431
1.42	1.11482
1.43	1.12543
1.44	1.11558
1.45	1.12612
1.46	1.13677
1.47	1.14752
1.48	1.15837
1.49	1.16932
1.5	1.18038
1.51	1.19154
1.52	1.20279
1.53	1.21415
1.54	1.01584
1.55	1.02466
1.56	1.03356
1.57	1.04254
1.58	1.0516
1.59	1.06074
1.6	1.06996
1.61	1.07925
1.62	1.08863
1.63	1.09808
1.64	1.1076
1.65	1.1172
1.66	1.08115
1.67	1.09035
1.68	1.09962
1.69	1.10897
1.7	1.11838
1.71	1.12786
1.72	1.13742
1.73	1.14704
1.74	1.15673
1.75	1.1665
1.76	1.17633
1.77	1.18623
1.78	1.1962
1.79	1.20623
1.8	1.21634
1.81	1.22651
1.82	1.04846
1.83	1.05669
1.84	1.06498
1.85	1.07332
1.86	1.08171
1.87	1.09016
1.88	1.09866
1.89	1.10722
1.9	1.11583
1.91	1.1245
1.92	1.13321
1.93	1.14198
1.94	1.15081
1.95	1.15969
1.96	1.16861
1.97	1.1776
1.98	1.18663
1.99	1.19572
2	1.20485
2.01	1.21404
2.02	1.22328
2.03	1.0961
2.04	1.10409
2.05	1.11213
2.06	1.12022
2.07	1.12835
2.08	1.13652
2.09	1.14473
2.1	1.15299
2.11	1.1613
2.12	1.16964
2.13	1.17803
2.14	1.18646
2.15	1.19494
2.16	1.20346
2.17	1.21202
2.18	1.22062
2.19	1.22927
2.2	1.23796
2.21	1.24669
2.22	1.25546
2.23	1.26428
2.24	1.27313
2.25	1.28203
2.26	1.29097
2.27	1.29996
2.28	1.30898
2.29	1.31805
2.3	1.32715
2.31	1.3363
2.32	1.34549
2.33	1.35472
2.34	1.36399
2.35	0.933091
2.36	0.938691
2.37	0.944315
2.38	0.949964
2.39	0.955638
2.4	0.961336
2.41	0.967059
2.42	0.972807
2.43	0.978579
2.44	0.984375
2.45	0.990196
2.46	0.996041
2.47	1.00191
2.48	1.0078
2.49	1.01372
2.5	1.01966
2.51	1.02563
2.52	1.03162
2.53	1.03763
2.54	1.04367
2.55	1.04973
2.56	1.05581
2.57	1.06192
2.58	1.06805
2.59	1.0742
2.6	1.08038
2.61	1.08658
2.62	1.09281
2.63	1.09906
2.64	1.10533
2.65	1.11162
2.66	1.11794
2.67	1.12428
2.68	1.13064
2.69	1.13703
2.7	1.14344
2.71	1.14987
2.72	1.15633
2.73	1.16281
2.74	1.16931
2.75	1.17583
2.76	1.18238
2.77	1.18895
2.78	1.19554
2.79	1.20216
2.8	1.2088
2.81	1.21546
2.82	1.22214
2.83	1.22884
2.84	1.23557
2.85	1.24232
2.86	1.24909
2.87	1.04636
2.88	1.05171
2.89	1.05708
2.9	1.06247
2.91	1.06788
2.92	1.0733
2.93	1.07874
2.94	1.0842
2.95	1.08968
2.96	1.09517
2.97	1.10068
2.98	1.1062
2.99	1.11174
3	1.1173
3.01	1.12288
3.02	1.12847
3.03	1.13408
3.04	1.13971
3.05	1.14535
3.06	1.15101
3.07	1.15669
3.08	1.16239
3.09	1.1681
3.1	1.17382
3.11	1.17957
3.12	1.18533
3.13	1.19111
3.14	1.1969
3.15	1.20271
3.16	1.20854
3.17	1.21438
3.18	1.22024
3.19	1.22612
3.2	1.23201
3.21	1.23792
3.22	1.24385
3.23	1.24979
3.24	1.25575
3.25	1.26172
3.26	1.26772
3.27	1.27372
3.28	1.27975
3.29	1.28579
3.3	1.29185
3.31	1.29792
3.32	1.30401
3.33	1.31012
3.34	1.31624
3.35	1.32238
3.36	1.32853
3.37	1.3347
3.38	1.34089
3.39	1.34709
3.4	1.35331
3.41	1.35955
3.42	1.3658
