# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.776787
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Fe_sg225_Iron-gamma.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	1.05199
0.52	1.05055
0.53	1.04921
0.54	1.04804
0.55	1.04629
0.56	1.04453
0.57	1.04366
0.58	1.04196
0.59	1.04061
0.6	1.0396
0.61	1.03798
0.62	1.03734
0.63	1.03534
0.64	1.03177
0.65	1.03218
0.66	1.0316
0.67	1.03106
0.68	1.02951
0.69	1.02902
0.7	1.03084
0.71	1.02709
0.72	1.02478
0.73	1.02716
0.74	1.02217
0.75	1.02289
0.76	1.02586
0.77	1.02426
0.78	1.02498
0.79	1.0286
0.8	1.02621
0.81	1.02028
0.82	1.02065
0.83	1.02489
0.84	1.02508
0.85	1.01916
0.86	1.02385
0.87	1.02105
0.88	1.02609
0.89	1.01927
0.9	1.01817
0.91	1.02355
0.92	1.02737
0.93	1.0332
0.94	1.03927
0.95	1.04559
0.96	1.02473
0.97	1.03093
0.98	1.01656
0.99	1.02279
1	1.02923
1.01	1.03589
1.02	1.03005
1.03	1.01013
1.04	1.01665
1.05	1.02337
1.06	1.0251
1.07	1.0321
1.08	1.0393
1.09	1.04669
1.1	1.05426
1.11	1.04266
1.12	1.02989
1.13	1.0373
1.14	1.04487
1.15	1.05262
1.16	1.03643
1.17	1.04409
1.18	1.05192
1.19	1.05991
1.2	1.06806
1.21	1.07637
1.22	1.04662
1.23	1.05461
1.24	0.997332
1.25	1.00455
1.26	1.01191
1.27	1.0194
1.28	1.02703
1.29	1.03479
1.3	1.02266
1.31	1.03037
1.32	1.0382
1.33	1.04616
1.34	1.05425
1.35	1.06245
1.36	1.07078
1.37	1.07922
1.38	1.08779
1.39	1.09647
1.4	1.10527
1.41	1.03829
1.42	1.04624
1.43	1.0543
1.44	1.06246
1.45	1.07073
1.46	1.0791
1.47	1.08757
1.48	1.09615
1.49	1.10483
1.5	1.04085
1.51	1.04875
1.52	1.05675
1.53	1.06484
1.54	1.07302
1.55	1.08128
1.56	1.08964
1.57	1.09809
1.58	1.10663
1.59	1.11525
1.6	1.12396
1.61	1.13276
1.62	1.14164
1.63	1.15061
1.64	1.05607
1.65	1.06394
1.66	1.07189
1.67	1.07991
1.68	0.974115
1.69	0.980926
1.7	0.987803
1.71	0.994745
1.72	1.00175
1.73	1.00882
1.74	1.01596
1.75	1.02316
1.76	1.03042
1.77	1.03775
1.78	1.04513
1.79	1.05258
1.8	1.06009
1.81	1.06766
1.82	1.0753
1.83	1.04379
1.84	1.05111
1.85	1.0585
1.86	1.06593
1.87	1.07343
1.88	1.08098
1.89	1.08859
1.9	1.09625
1.91	1.10397
1.92	1.11175
1.93	1.11958
1.94	1.12746
1.95	1.1354
1.96	1.14339
1.97	1.15144
1.98	1.15954
1.99	1.16769
2	1.1759
2.01	1.18416
2.02	1.19247
2.03	1.20084
2.04	1.20926
2.05	1.21773
2.06	1.22625
2.07	1.23482
2.08	1.24345
2.09	1.25212
2.1	1.26085
2.11	1.26962
2.12	1.19038
2.13	1.19843
2.14	1.20652
2.15	1.21466
2.16	1.22284
2.17	1.23107
2.18	1.23935
2.19	1.24767
2.2	1.25603
2.21	0.958215
2.22	0.963893
2.23	0.969604
2.24	0.975348
2.25	0.981123
2.26	0.98693
2.27	0.992769
2.28	0.99864
2.29	1.00454
2.3	1.01048
2.31	1.01644
2.32	1.02244
2.33	1.02846
2.34	1.03452
2.35	1.04061
2.36	1.04673
2.37	1.05288
2.38	1.05906
2.39	1.06527
2.4	1.07151
2.41	1.07778
2.42	1.08408
2.43	1.09041
2.44	1.09677
2.45	1.10316
2.46	1.10958
2.47	1.11602
2.48	1.1225
2.49	1.12901
2.5	1.13555
2.51	1.14211
2.52	1.14871
2.53	1.15533
2.54	1.16198
2.55	1.16866
2.56	1.17537
2.57	1.18211
2.58	1.18888
2.59	0.933097
2.6	0.93789
2.61	0.942702
2.62	0.947536
2.63	0.952389
2.64	0.957263
2.65	0.962157
2.66	0.967071
2.67	0.972006
2.68	0.97696
2.69	0.981934
2.7	0.986929
2.71	0.991943
2.72	0.996976
2.73	1.00203
2.74	1.0071
2.75	1.0122
2.76	1.01731
2.77	1.02244
2.78	1.02759
2.79	1.03276
2.8	1.03795
2.81	1.04316
2.82	1.04839
2.83	1.05364
2.84	1.0589
2.85	1.06419
2.86	1.06949
2.87	1.07482
2.88	1.08016
2.89	1.08552
2.9	1.0909
2.91	1.0963
2.92	1.10172
2.93	1.10715
2.94	1.11261
2.95	1.11808
2.96	1.12358
2.97	1.12909
2.98	1.13462
2.99	1.14016
3	1.14573
3.01	1.15132
3.02	1.15692
3.03	1.16254
3.04	1.16818
3.05	1.17384
3.06	1.17951
3.07	1.18521
3.08	1.19092
3.09	1.19665
3.1	1.2024
3.11	1.20817
3.12	1.21395
3.13	1.21976
3.14	1.22558
3.15	1.23141
3.16	1.23727
3.17	1.24315
3.18	1.24904
3.19	1.25495
3.2	1.26088
3.21	1.26682
3.22	1.27279
3.23	1.27877
3.24	1.28477
3.25	1.29078
3.26	1.29682
3.27	1.30287
3.28	1.30894
3.29	1.31502
3.3	1.32113
3.31	1.32725
3.32	1.33339
3.33	1.33955
3.34	1.34572
3.35	1.35191
3.36	1.35812
3.37	1.36435
3.38	1.37059
3.39	1.37685
3.4	1.38313
3.41	1.38942
3.42	1.39574
3.43	1.40207
3.44	1.40841
3.45	1.41478
3.46	1.42116
3.47	1.42756
3.48	1.43398
3.49	1.44041
3.5	1.44686
3.51	1.45333
3.52	1.45981
3.53	1.46631
3.54	1.47283
3.55	1.47937
3.56	1.48592
3.57	1.49249
3.58	1.49907
3.59	1.50568
3.6	1.5123
3.61	1.51894
3.62	1.52559
3.63	1.53226
3.64	1.53895
3.65	1.54565
3.66	1.14923
3.67	1.15376
3.68	1.15831
3.69	1.16286
3.7	1.16743
3.71	1.172
3.72	1.17659
3.73	1.18119
3.74	1.18579
3.75	1.19041
3.76	1.19504
3.77	1.19968
3.78	1.20433
3.79	1.20899
3.8	1.21367
3.81	1.21835
3.82	1.22304
3.83	1.22774
3.84	1.23246
3.85	1.23718
3.86	1.24192
3.87	1.24667
3.88	1.25142
3.89	1.25619
3.9	1.26097
3.91	1.26576
3.92	1.27055
3.93	1.27536
3.94	1.28018
3.95	1.28501
3.96	1.28985
3.97	1.29471
3.98	1.29957
3.99	1.30444
4	1.30932
4.01	1.31421
4.02	1.31912
4.03	1.32403
4.04	1.32896
4.05	1.33389
4.06	1.33884
4.07	1.34379
4.08	1.34876
4.09	1.35373
4.1	1.35872
4.11	1.36371
4.12	1.36872
4.13	1.37374
4.14	1.37877
4.15	1.3838
4.16	1.38885
4.17	1.39391
4.18	1.39898
4.19	1.40406
