# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.218523
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Mg_sg194.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	0.153083
0.52	0.152529
0.53	0.151945
0.54	0.151336
0.55	0.150705
0.56	0.150056
0.57	0.149392
0.58	0.148716
0.59	0.148033
0.6	0.147346
0.61	0.146654
0.62	0.145965
0.63	0.145278
0.64	0.144592
0.65	0.143917
0.66	0.143253
0.67	0.142612
0.68	0.141956
0.69	0.141329
0.7	0.140721
0.71	0.140115
0.72	0.139544
0.73	0.138979
0.74	0.13844
0.75	0.137923
0.76	0.137425
0.77	0.136935
0.78	0.136458
0.79	0.13603
0.8	0.135542
0.81	0.135133
0.82	0.13481
0.83	0.134442
0.84	0.134115
0.85	0.133785
0.86	0.133489
0.87	0.133214
0.88	0.132914
0.89	0.132605
0.9	0.132373
0.91	0.132151
0.92	0.131858
0.93	0.131717
0.94	0.131467
0.95	0.131524
0.96	0.131438
0.97	0.131389
0.98	0.131441
0.99	0.131327
1	0.130814
1.01	0.130797
1.02	0.130516
1.03	0.130502
1.04	0.130768
1.05	0.130535
1.06	0.130632
1.07	0.13045
1.08	0.130444
1.09	0.130289
1.1	0.13011
1.11	0.13014
1.12	0.130519
1.13	0.13096
1.14	0.131162
1.15	0.131459
1.16	0.131468
1.17	0.131988
1.18	0.131967
1.19	0.131595
1.2	0.131408
1.21	0.131454
1.22	0.130665
1.23	0.131104
1.24	0.130468
1.25	0.131073
1.26	0.131699
1.27	0.130388
1.28	0.130837
1.29	0.13149
1.3	0.131559
1.31	0.1321
1.32	0.132135
1.33	0.132374
1.34	0.132601
1.35	0.133079
1.36	0.133823
1.37	0.133477
1.38	0.133372
1.39	0.133988
1.4	0.134772
1.41	0.133607
1.42	0.134396
1.43	0.135201
1.44	0.134925
1.45	0.135747
1.46	0.136586
1.47	0.13744
1.48	0.134494
1.49	0.135327
1.5	0.136175
1.51	0.135151
1.52	0.136003
1.53	0.131863
1.54	0.130618
1.55	0.13089
1.56	0.131699
1.57	0.132521
1.58	0.133356
1.59	0.134204
1.6	0.135065
1.61	0.13465
1.62	0.13552
1.63	0.136403
1.64	0.135886
1.65	0.136776
1.66	0.136927
1.67	0.135512
1.68	0.136402
1.69	0.137302
1.7	0.138215
1.71	0.139139
1.72	0.140074
1.73	0.14102
1.74	0.141353
1.75	0.138472
1.76	0.1394
1.77	0.140339
1.78	0.141289
1.79	0.142249
1.8	0.136647
1.81	0.137554
1.82	0.138471
1.83	0.139399
1.84	0.140335
1.85	0.141282
1.86	0.139717
1.87	0.140656
1.88	0.141604
1.89	0.142561
1.9	0.143527
1.91	0.14309
1.92	0.14406
1.93	0.145038
1.94	0.146026
1.95	0.143903
1.96	0.140132
1.97	0.141066
1.98	0.142007
1.99	0.142957
2	0.143916
2.01	0.144882
2.02	0.145856
2.03	0.139487
2.04	0.140405
2.05	0.14133
2.06	0.130451
2.07	0.131277
2.08	0.13211
2.09	0.13295
2.1	0.133796
2.11	0.132495
2.12	0.133335
