# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.404805
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Ni_sg225.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	1.87736
0.52	1.8757
0.53	1.87245
0.54	1.86932
0.55	1.86889
0.56	1.86616
0.57	1.8645
0.58	1.86286
0.59	1.86153
0.6	1.85831
0.61	1.85868
0.62	1.85181
0.63	1.85462
0.64	1.85505
0.65	1.85556
0.66	1.84908
0.67	1.85425
0.68	1.85617
0.69	1.85332
0.7	1.84987
0.71	1.84065
0.72	1.84325
0.73	1.85038
0.74	1.8483
0.75	1.85617
0.76	1.85906
0.77	1.85549
0.78	1.84504
0.79	1.84681
0.8	1.85594
0.81	1.85737
0.82	1.84728
0.83	1.85705
0.84	1.85285
0.85	1.86313
0.86	1.85171
0.87	1.85071
0.88	1.86142
0.89	1.86927
0.9	1.88067
0.91	1.89246
0.92	1.85742
0.93	1.86891
0.94	1.88076
0.95	1.85677
0.96	1.86854
0.97	1.88064
0.98	1.87174
0.99	1.83938
1	1.85109
1.01	1.86311
1.02	1.86686
1.03	1.8793
1.04	1.89202
1.05	1.90502
1.06	1.9183
1.07	1.90036
1.08	1.8806
1.09	1.89349
1.1	1.90663
1.11	1.92003
1.12	1.89503
1.13	1.90823
1.14	1.92166
1.15	1.93533
1.16	1.94923
1.17	1.96337
1.18	1.91738
1.19	1.93094
1.2	1.84177
1.21	1.85402
1.22	1.86648
1.23	1.87912
1.24	1.89196
1.25	1.87431
1.26	1.88703
1.27	1.89993
1.28	1.91301
1.29	1.92627
1.3	1.9397
1.31	1.9533
1.32	1.96708
1.33	1.98103
1.34	1.99515
1.35	2.00943
1.36	1.9095
1.37	1.92242
1.38	1.9355
1.39	1.94873
1.4	1.96211
1.41	1.97564
1.42	1.98931
1.43	2.00313
1.44	1.90994
1.45	1.92255
1.46	1.93529
1.47	1.94816
1.48	1.96116
1.49	1.97429
1.5	1.98755
1.51	2.00093
1.52	2.01444
1.53	2.02807
1.54	2.04183
1.55	2.05571
1.56	2.06971
1.57	2.08383
1.58	1.94721
1.59	1.95966
1.6	1.97222
1.61	1.98488
1.62	1.83224
1.63	1.84307
1.64	1.85398
1.65	1.86499
1.66	1.87608
1.67	1.88727
1.68	1.89855
1.69	1.90991
1.7	1.92136
1.71	1.9329
1.72	1.94453
1.73	1.95624
1.74	1.96804
1.75	1.97993
1.76	1.9919
1.77	1.94745
1.78	1.95895
1.79	1.97053
1.8	1.98219
1.81	1.99393
