# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:48.984182
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: SiO2_sg154_Quartz.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	0.233556
0.52	0.231732
0.53	0.229953
0.54	0.228225
0.55	0.226553
0.56	0.224942
0.57	0.223396
0.58	0.221919
0.59	0.220513
0.6	0.219183
0.61	0.217929
0.62	0.216754
0.63	0.215659
0.64	0.214646
0.65	0.213714
0.66	0.212866
0.67	0.2121
0.68	0.211419
0.69	0.21082
0.7	0.210306
0.71	0.209874
0.72	0.209525
0.73	0.209258
0.74	0.209073
0.75	0.208969
0.76	0.208945
0.77	0.209001
0.78	0.209135
0.79	0.209347
0.8	0.209637
0.81	0.210002
0.82	0.210442
0.83	0.210957
0.84	0.211545
0.85	0.212205
0.86	0.212936
0.87	0.213738
0.88	0.214609
0.89	0.215548
0.9	0.216555
0.91	0.217226
0.92	0.217661
0.93	0.218033
0.94	0.218374
0.95	0.219099
0.96	0.219019
0.97	0.218988
0.98	0.218433
0.99	0.21852
1	0.21787
1.01	0.218609
1.02	0.219026
1.03	0.218925
1.04	0.219319
1.05	0.219781
1.06	0.220002
1.07	0.220955
1.08	0.220653
1.09	0.221165
1.1	0.222582
1.11	0.222989
1.12	0.223362
1.13	0.223534
1.14	0.225335
1.15	0.226005
1.16	0.225776
1.17	0.226039
1.18	0.226182
1.19	0.226301
1.2	0.226719
1.21	0.227803
1.22	0.227662
1.23	0.22875
1.24	0.230668
1.25	0.229766
1.26	0.231511
1.27	0.23198
1.28	0.23372
1.29	0.235226
1.3	0.232036
1.31	0.231376
1.32	0.232572
1.33	0.232711
1.34	0.232338
1.35	0.234409
1.36	0.231615
1.37	0.233657
1.38	0.234312
1.39	0.233588
1.4	0.234153
1.41	0.231282
1.42	0.233328
1.43	0.235411
1.44	0.237208
1.45	0.233556
1.46	0.234489
1.47	0.23486
1.48	0.235745
1.49	0.237849
1.5	0.23971
1.51	0.241861
1.52	0.239213
1.53	0.239795
1.54	0.240487
1.55	0.23993
1.56	0.242066
1.57	0.243532
1.58	0.242018
1.59	0.238503
1.6	0.23837
1.61	0.237443
1.62	0.237034
1.63	0.231478
1.64	0.232762
1.65	0.234771
1.66	0.226371
1.67	0.228293
1.68	0.228201
1.69	0.22932
1.7	0.230911
1.71	0.232855
1.72	0.233567
1.73	0.235548
1.74	0.237547
1.75	0.239564
1.76	0.240451
1.77	0.240916
1.78	0.241328
1.79	0.243366
1.8	0.242626
1.81	0.244618
1.82	0.243504
1.83	0.245544
1.84	0.241128
1.85	0.24313
1.86	0.244619
1.87	0.246647
1.88	0.24869
1.89	0.25075
1.9	0.252825
1.91	0.254916
1.92	0.257022
1.93	0.255664
1.94	0.257765
1.95	0.259881
1.96	0.25513
1.97	0.257205
1.98	0.254635
1.99	0.256692
2	0.258763
2.01	0.260849
2.02	0.262949
2.03	0.262956
2.04	0.265063
2.05	0.267183
2.06	0.269318
2.07	0.266075
2.08	0.268184
2.09	0.263692
2.1	0.258446
2.11	0.260462
2.12	0.262491
2.13	0.264304
2.14	0.266356
2.15	0.26842
2.16	0.270496
2.17	0.255686
2.18	0.257631
2.19	0.259588
2.2	0.261556
2.21	0.263536
2.22	0.265527
2.23	0.263824
2.24	0.261691
2.25	0.263646
2.26	0.265612
2.27	0.26759
2.28	0.269578
2.29	0.268928
2.3	0.270915
2.31	0.261601
2.32	0.263511
2.33	0.265432
2.34	0.267363
2.35	0.269304
2.36	0.271255
2.37	0.247231
2.38	0.248983
2.39	0.250744
2.4	0.227851
2.41	0.229425
2.42	0.231007
2.43	0.232597
2.44	0.234195
2.45	0.235802
2.46	0.233708
2.47	0.235301
2.48	0.236901
2.49	0.23851
2.5	0.240127
2.51	0.241752
2.52	0.23359
2.53	0.235153
2.54	0.236723
2.55	0.238301
2.56	0.239887
2.57	0.24148
2.58	0.23426
2.59	0.235799
2.6	0.237346
2.61	0.2389
2.62	0.240461
2.63	0.24203
2.64	0.243606
2.65	0.245188
2.66	0.246778
2.67	0.248375
2.68	0.249979
2.69	0.25159
2.7	0.253209
2.71	0.254834
2.72	0.256466
2.73	0.258106
2.74	0.259752
2.75	0.2242
2.76	0.22559
2.77	0.210949
2.78	0.212234
2.79	0.213525
2.8	0.214822
2.81	0.216124
2.82	0.217431
2.83	0.218744
2.84	0.218121
2.85	0.219431
2.86	0.220747
2.87	0.222068
2.88	0.223395
2.89	0.224727
2.9	0.226064
2.91	0.220684
2.92	0.221986
2.93	0.223293
2.94	0.224605
2.95	0.225923
2.96	0.227245
2.97	0.228573
2.98	0.229906
2.99	0.231244
3	0.232587
3.01	0.233936
3.02	0.235289
3.03	0.236648
3.04	0.238011
3.05	0.23938
3.06	0.240754
3.07	0.242133
3.08	0.243517
3.09	0.217355
3.1	0.218571
3.11	0.219791
3.12	0.221016
3.13	0.222245
3.14	0.223478
3.15	0.224716
3.16	0.225958
3.17	0.227205
3.18	0.228456
3.19	0.229712
3.2	0.230972
3.21	0.232236
3.22	0.22395
3.23	0.225164
3.24	0.226382
3.25	0.227604
3.26	0.22883
3.27	0.230061
3.28	0.231296
3.29	0.232535
3.3	0.233778
3.31	0.235025
3.32	0.226253
3.33	0.227449
3.34	0.228648
3.35	0.207523
3.36	0.208596
3.37	0.209673
3.38	0.210754
3.39	0.211838
3.4	0.212926
3.41	0.214017
3.42	0.215112
3.43	0.21621
3.44	0.217312
3.45	0.218418
3.46	0.219527
3.47	0.220639
3.48	0.221755
3.49	0.222874
3.5	0.223997
3.51	0.225124
3.52	0.226254
3.53	0.227387
3.54	0.228524
3.55	0.229664
3.56	0.230808
3.57	0.231955
3.58	0.233106
3.59	0.23426
3.6	0.235418
3.61	0.235383
3.62	0.236541
3.63	0.237702
3.64	0.203203
3.65	0.204175
3.66	0.20515
3.67	0.206128
3.68	0.207108
3.69	0.208092
3.7	0.209078
3.71	0.210068
3.72	0.21106
3.73	0.212055
3.74	0.213053
3.75	0.214054
3.76	0.215057
3.77	0.216064
3.78	0.217073
3.79	0.218085
3.8	0.2191
3.81	0.220118
3.82	0.221139
3.83	0.222162
3.84	0.223189
3.85	0.224218
3.86	0.22525
3.87	0.226285
3.88	0.227323
3.89	0.228363
3.9	0.229406
3.91	0.230453
3.92	0.231502
3.93	0.232553
3.94	0.233608
3.95	0.234665
3.96	0.204222
3.97	0.205126
3.98	0.206032
3.99	0.206941
4	0.207852
4.01	0.208765
4.02	0.20968
4.03	0.210599
4.04	0.211519
4.05	0.212442
4.06	0.213367
4.07	0.214295
4.08	0.215224
4.09	0.216157
4.1	0.217092
4.11	0.218029
4.12	0.218968
4.13	0.21991
4.14	0.220854
4.15	0.221801
4.16	0.22275
4.17	0.223701
4.18	0.224654
4.19	0.22561
4.2	0.226569
4.21	0.22753
4.22	0.228493
4.23	0.229458
4.24	0.230426
4.25	0.231396
4.26	0.231505
4.27	0.232476
4.28	0.233449
4.29	0.234424
4.3	0.235402
4.31	0.236382
4.32	0.237364
4.33	0.238349
4.34	0.239336
4.35	0.240326
4.36	0.241317
4.37	0.242311
4.38	0.243308
4.39	0.244306
4.4	0.245307
4.41	0.246311
4.42	0.247316
4.43	0.248324
4.44	0.249334
4.45	0.250347
4.46	0.251362
4.47	0.252379
4.48	0.221768
4.49	0.222648
4.5	0.22353
4.51	0.224415
4.52	0.225301
4.53	0.22619
4.54	0.22708
4.55	0.227972
4.56	0.228867
4.57	0.191091
4.58	0.19182
4.59	0.19255
4.6	0.193282
4.61	0.194016
4.62	0.194751
4.63	0.195488
4.64	0.196227
4.65	0.196967
4.66	0.197709
4.67	0.198452
4.68	0.199197
4.69	0.199943
4.7	0.200691
4.71	0.201441
4.72	0.202192
4.73	0.202945
4.74	0.2037
4.75	0.204456
4.76	0.205214
4.77	0.205973
4.78	0.206734
4.79	0.207496
4.8	0.20826
4.81	0.209026
4.82	0.209793
4.83	0.210562
4.84	0.211333
4.85	0.212105
4.86	0.212878
4.87	0.213653
4.88	0.21443
4.89	0.215208
4.9	0.215988
4.91	0.21677
4.92	0.184632
4.93	0.185283
4.94	0.185935
4.95	0.186588
4.96	0.187243
4.97	0.187899
4.98	0.188556
4.99	0.189215
5	0.189874
5.01	0.190536
5.02	0.191198
5.03	0.191862
5.04	0.192527
5.05	0.193193
5.06	0.193861
5.07	0.19453
5.08	0.1952
5.09	0.195871
5.1	0.196544
5.11	0.197218
5.12	0.197894
5.13	0.19857
5.14	0.199248
5.15	0.199928
5.16	0.200608
5.17	0.20129
5.18	0.201973
5.19	0.202658
5.2	0.203343
5.21	0.20403
5.22	0.204719
5.23	0.205408
5.24	0.206099
5.25	0.206791
5.26	0.207485
5.27	0.208179
5.28	0.208875
5.29	0.209573
5.3	0.210271
5.31	0.210971
5.32	0.211672
5.33	0.212375
5.34	0.213079
5.35	0.213784
5.36	0.21449
5.37	0.215197
5.38	0.215906
5.39	0.216616
5.4	0.217328
5.41	0.218041
5.42	0.218754
5.43	0.21947
5.44	0.220186
5.45	0.220904
5.46	0.221623
5.47	0.222343
5.48	0.223065
5.49	0.223788
5.5	0.224512
5.51	0.225238
