# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:49.126697
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Source file: Ti_sg194.ncmat
# wavelength[A]	sigma_tot[1/cm]
0.51	0.344686
0.52	0.345714
0.53	0.346785
0.54	0.347875
0.55	0.348995
0.56	0.350121
0.57	0.35128
0.58	0.352422
0.59	0.353639
0.6	0.354869
0.61	0.356226
0.62	0.357551
0.63	0.358785
0.64	0.360155
0.65	0.361552
0.66	0.362994
0.67	0.364497
0.68	0.36595
0.69	0.367438
0.7	0.369048
0.71	0.370583
0.72	0.372048
0.73	0.373489
0.74	0.375221
0.75	0.377092
0.76	0.378717
0.77	0.380614
0.78	0.382041
0.79	0.383955
0.8	0.385904
0.81	0.387327
0.82	0.389131
0.83	0.390825
0.84	0.392343
0.85	0.394392
0.86	0.396231
0.87	0.398519
0.88	0.400834
0.89	0.402615
0.9	0.404529
0.91	0.406014
0.92	0.407385
0.93	0.40917
0.94	0.411367
0.95	0.413697
0.96	0.416199
0.97	0.417237
0.98	0.418974
0.99	0.421225
1	0.423091
1.01	0.424617
1.02	0.426852
1.03	0.429034
1.04	0.431623
1.05	0.433727
1.06	0.435954
1.07	0.438449
1.08	0.440529
1.09	0.441383
1.1	0.443081
1.11	0.444755
1.12	0.446717
1.13	0.44919
1.14	0.450381
1.15	0.452842
1.16	0.454712
1.17	0.456131
1.18	0.458434
1.19	0.459753
1.2	0.462415
1.21	0.465091
1.22	0.466776
1.23	0.469463
1.24	0.471894
1.25	0.473474
1.26	0.476178
1.27	0.477992
1.28	0.480551
1.29	0.483276
1.3	0.483037
1.31	0.48574
1.32	0.488454
1.33	0.49118
1.34	0.49354
1.35	0.493944
1.36	0.495857
1.37	0.498573
1.38	0.499586
1.39	0.500551
1.4	0.503248
1.41	0.501304
1.42	0.503472
1.43	0.506123
1.44	0.508783
1.45	0.511452
1.46	0.514129
1.47	0.516815
1.48	0.518377
1.49	0.521064
1.5	0.521976
1.51	0.524656
1.52	0.525464
1.53	0.528135
1.54	0.530813
1.55	0.533498
1.56	0.536191
1.57	0.538417
1.58	0.541119
1.59	0.543828
1.6	0.546544
1.61	0.546137
1.62	0.548829
1.63	0.551527
1.64	0.554231
1.65	0.551777
1.66	0.554433
1.67	0.557094
1.68	0.559762
1.69	0.562436
1.7	0.565116
1.71	0.565832
1.72	0.568501
1.73	0.570143
1.74	0.572812
1.75	0.575487
1.76	0.574857
1.77	0.577505
1.78	0.580159
1.79	0.58048
1.8	0.583118
1.81	0.585761
1.82	0.58841
1.83	0.591064
1.84	0.588555
1.85	0.591163
1.86	0.593776
1.87	0.596393
1.88	0.599015
1.89	0.601642
1.9	0.595594
1.91	0.598139
1.92	0.600687
1.93	0.60324
1.94	0.604239
1.95	0.606784
1.96	0.609334
1.97	0.611887
1.98	0.609391
1.99	0.611901
2	0.614415
2.01	0.616932
2.02	0.619454
2.03	0.621978
2.04	0.624507
2.05	0.627039
2.06	0.629575
2.07	0.632114
2.08	0.634657
2.09	0.637204
2.1	0.639754
2.11	0.642308
2.12	0.644865
2.13	0.645248
2.14	0.647792
2.15	0.650339
2.16	0.65289
2.17	0.655444
2.18	0.658001
2.19	0.660562
2.2	0.663127
2.21	0.665695
2.22	0.668266
2.23	0.67084
2.24	0.673418
2.25	0.67338
2.26	0.675941
2.27	0.678506
2.28	0.681073
2.29	0.683644
2.3	0.686218
2.31	0.688796
2.32	0.691376
2.33	0.69396
2.34	0.696547
2.35	0.697112
2.36	0.699688
2.37	0.702267
2.38	0.704849
2.39	0.707434
2.4	0.710023
2.41	0.712614
2.42	0.715208
2.43	0.717806
2.44	0.720406
2.45	0.72301
2.46	0.725617
2.47	0.71744
2.48	0.719965
2.49	0.722493
2.5	0.710036
2.51	0.712449
2.52	0.714864
2.53	0.717282
2.54	0.719702
2.55	0.722123
2.56	0.722522
2.57	0.724932
2.58	0.727344
2.59	0.729759
2.6	0.732175
2.61	0.734594
2.62	0.737015
2.63	0.739438
2.64	0.741863
2.65	0.74429
2.66	0.746719
2.67	0.735175
2.68	0.737504
2.69	0.739834
2.7	0.742165
2.71	0.744499
2.72	0.746834
2.73	0.749171
2.74	0.751509
2.75	0.753849
2.76	0.756191
2.77	0.758534
2.78	0.760879
2.79	0.763226
2.8	0.765574
2.81	0.767924
2.82	0.770276
2.83	0.772629
2.84	0.774984
2.85	0.77734
2.86	0.779699
2.87	0.782058
2.88	0.78442
2.89	0.786783
2.9	0.789148
2.91	0.791514
2.92	0.793882
2.93	0.796252
2.94	0.798623
2.95	0.788061
2.96	0.790347
2.97	0.792635
2.98	0.794924
2.99	0.797215
3	0.799507
3.01	0.8018
3.02	0.804094
3.03	0.80639
3.04	0.808687
3.05	0.810986
3.06	0.813285
3.07	0.815587
3.08	0.817889
3.09	0.820193
3.1	0.822497
3.11	0.824804
3.12	0.827111
3.13	0.82942
3.14	0.83173
3.15	0.834042
3.16	0.836354
3.17	0.838668
3.18	0.840984
3.19	0.8433
3.2	0.845618
3.21	0.847937
3.22	0.850258
3.23	0.85258
3.24	0.854903
3.25	0.857227
3.26	0.859553
3.27	0.86188
3.28	0.864208
3.29	0.866537
3.3	0.868868
3.31	0.8712
3.32	0.873533
3.33	0.875868
3.34	0.878204
3.35	0.880541
3.36	0.882879
3.37	0.885219
3.38	0.88756
3.39	0.889902
3.4	0.892246
3.41	0.89459
3.42	0.896937
3.43	0.899284
3.44	0.901632
3.45	0.903982
3.46	0.895572
3.47	0.897862
3.48	0.900153
3.49	0.902445
3.5	0.904739
3.51	0.907033
3.52	0.909329
3.53	0.911625
3.54	0.913923
3.55	0.916222
3.56	0.918522
3.57	0.920822
3.58	0.923124
3.59	0.925428
3.6	0.927732
3.61	0.930037
3.62	0.932343
3.63	0.934651
3.64	0.936959
3.65	0.939269
3.66	0.941579
3.67	0.943891
3.68	0.946204
3.69	0.948518
3.7	0.950833
3.71	0.953149
3.72	0.955466
3.73	0.957784
3.74	0.960103
3.75	0.962424
3.76	0.964745
3.77	0.967068
3.78	0.969391
3.79	0.971716
3.8	0.974041
3.81	0.976368
3.82	0.978696
3.83	0.981025
3.84	0.983355
3.85	0.985686
3.86	0.988018
3.87	0.990351
3.88	0.992685
3.89	0.995021
3.9	0.997357
3.91	0.999694
3.92	1.00203
3.93	1.00437
3.94	1.00671
3.95	1.00905
3.96	1.0114
3.97	1.01374
3.98	1.01609
3.99	1.01843
4	1.02078
4.01	1.02313
4.02	1.02548
4.03	1.02783
4.04	1.03018
4.05	1.03253
4.06	1.03488
4.07	1.03724
4.08	1.03959
4.09	1.04195
4.1	1.04431
4.11	1.04667
4.12	1.04903
4.13	1.05139
4.14	1.05375
4.15	1.05611
4.16	1.05848
4.17	1.06084
4.18	1.06321
4.19	1.06557
4.2	1.06794
4.21	1.07031
4.22	1.07268
4.23	1.07505
4.24	1.07743
4.25	1.0798
4.26	1.08217
4.27	1.08455
4.28	1.08693
4.29	1.0893
4.3	1.09168
4.31	1.09406
4.32	1.09644
4.33	1.09883
4.34	1.10121
4.35	1.10359
4.36	1.10598
4.37	1.10836
4.38	1.11075
4.39	1.11314
4.4	1.11553
4.41	1.11792
4.42	1.12031
4.43	1.1227
4.44	1.1251
4.45	1.12749
4.46	1.12989
4.47	1.13228
4.48	1.13468
4.49	1.06387
4.5	1.06595
4.51	1.06802
4.52	1.07009
4.53	1.07217
4.54	1.07424
4.55	1.07632
4.56	1.07839
4.57	1.08047
4.58	1.08254
4.59	1.08462
4.6	1.0867
4.61	1.08877
4.62	1.09085
4.63	1.09293
4.64	1.09501
4.65	1.09709
4.66	1.09916
4.67	1.10124
4.68	1.10332
4.69	1.08678
4.7	1.08878
4.71	1.09078
4.72	1.09278
4.73	1.09478
4.74	1.09678
4.75	1.09878
4.76	1.10079
4.77	1.10279
4.78	1.10479
4.79	1.10679
4.8	1.10879
4.81	1.11079
4.82	1.1128
4.83	1.1148
