# Interaction cross-sections, 1/cm
# Date: 2021-05-31 21:02:47.746800
# Generated from NCrystal (https://github.com/mctools/ncrystal)
# Reference: X.-X. Cai and T. Kittelmann, Comp. Phys. Comm. 246 (2020) 106851
# Phase alpha: Fe_sg229_Iron-alpha.ncmat, 50%
# wavelength[A]	sigma_tot[1/cm]
0.51	1.06956
0.52	1.06696
0.53	1.06558
0.54	1.06372
0.55	1.06172
0.56	1.06023
0.57	1.05888
0.58	1.05657
0.59	1.05684
0.6	1.0557
0.61	1.05341
0.62	1.05051
0.63	1.04994
0.64	1.04863
0.65	1.04822
0.66	1.04941
0.67	1.04573
0.68	1.0458
0.69	1.04565
0.7	1.04653
0.71	1.04097
0.72	1.04269
0.73	1.03912
0.74	1.04015
0.75	1.04425
0.76	1.04715
0.77	1.04492
0.78	1.04941
0.79	1.04326
0.8	1.04291
0.81	1.04425
0.82	1.03584
0.83	1.04094
0.84	1.04552
0.85	1.03811
0.86	1.04505
0.87	1.04334
0.88	1.05066
0.89	1.04088
0.9	1.04518
0.91	1.04655
0.92	1.05347
0.93	1.06155
0.94	1.04823
0.95	1.05635
0.96	1.04095
0.97	1.04908
0.98	1.04705
0.99	1.03705
1	1.0453
1.01	1.05378
1.02	1.05088
1.03	1.0462
1.04	1.05484
1.05	1.03978
1.06	1.04579
1.07	1.05455
1.08	1.06351
1.09	1.07267
1.1	1.08202
1.11	1.08188
1.12	1.08125
1.13	1.04232
1.14	1.0512
1.15	1.06025
1.16	1.05742
1.17	1.0666
1.18	1.05683
1.19	1.06602
1.2	1.07537
1.21	1.08488
1.22	1.07544
1.23	1.06233
1.24	1.03891
1.25	1.04781
1.26	1.05686
1.27	1.06604
1.28	1.07536
1.29	1.05763
1.3	1.05679
1.31	1.06594
1.32	1.07521
1.33	1.08461
1.34	1.09414
1.35	1.1038
1.36	1.06377
1.37	1.07293
1.38	1.08222
1.39	1.09162
1.4	1.10113
1.41	1.07281
1.42	1.08201
1.43	1.09132
1.44	1.09044
1.45	1.09982
1.46	1.1093
1.47	1.11889
1.48	1.12858
1.49	1.13837
1.5	1.11189
1.51	1.12139
1.52	1.131
1.53	1.1407
1.54	1.04561
1.55	1.05414
1.56	1.06275
